filename,predict_1,confidence_1,predict_2,confidence_2,predict_3,confidence_3
test_images\03997.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,0.9929277,Chevrolet Sonic Sedan 2012,0.033545494,GMC Canyon Extended Cab 2012,0.021663576
test_images\03998.jpg,Buick Verano Sedan 2012,0.987616,Porsche Panamera Sedan 2012,0.09878585,Chevrolet Cobalt SS 2010,0.085051954
test_images\03999.jpg,Ford GT Coupe 2006,0.99569666,Spyker C8 Convertible 2009,0.031884342,Chevrolet Corvette Convertible 2012,0.029326886
test_images\04000.jpg,Dodge Dakota Crew Cab 2010,0.9734017,Land Rover LR2 SUV 2012,0.26666993,Dodge Dakota Club Cab 2007,0.22011647
test_images\04001.jpg,Volkswagen Beetle Hatchback 2012,0.92619103,Hyundai Elantra Touring Hatchback 2012,0.030403554,Buick Verano Sedan 2012,0.013417572
test_images\04002.jpg,Chevrolet Tahoe Hybrid SUV 2012,0.84508,Isuzu Ascender SUV 2008,0.084198356,Jeep Liberty SUV 2012,0.062933624
test_images\04003.jpg,Mercedes-Benz Sprinter Van 2012,0.73165977,Ford E-Series Wagon Van 2012,0.2671036,Dodge Sprinter Cargo Van 2009,0.23840123
test_images\04004.jpg,Buick Rainier SUV 2007,0.60816693,Mazda Tribute SUV 2011,0.40223455,Ford Expedition EL SUV 2009,0.12207621
test_images\04005.jpg,Nissan Leaf Hatchback 2012,0.5854467,Volkswagen Beetle Hatchback 2012,0.20888186,Volvo C30 Hatchback 2012,0.1475687
test_images\04006.jpg,Audi 100 Sedan 1994,0.983536,Audi V8 Sedan 1994,0.40512815,Audi 100 Wagon 1994,0.09648064
test_images\04007.jpg,GMC Savana Van 2012,0.95138526,Chevrolet Express Van 2007,0.29426196,Chevrolet Express Cargo Van 2007,0.04139757
test_images\04008.jpg,Chevrolet Express Van 2007,0.8649272,Chevrolet Express Cargo Van 2007,0.3563105,GMC Savana Van 2012,0.06699997
test_images\04009.jpg,Lamborghini Reventon Coupe 2008,0.58761376,Chevrolet Corvette ZR1 2012,0.22040012,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.1525515
test_images\04010.jpg,Aston Martin V8 Vantage Coupe 2012,0.82245004,Aston Martin V8 Vantage Convertible 2012,0.4182659,Audi TTS Coupe 2012,0.08984992
test_images\04011.jpg,Chevrolet Malibu Hybrid Sedan 2010,0.99505687,Acura RL Sedan 2012,0.033477843,Suzuki Kizashi Sedan 2012,0.027016252
test_images\04012.jpg,Toyota Corolla Sedan 2012,0.95565027,Acura TSX Sedan 2012,0.17376208,Toyota Camry Sedan 2012,0.123910844
test_images\04013.jpg,Ford Mustang Convertible 2007,0.98868763,Acura Integra Type R 2001,0.09498751,Bentley Mulsanne Sedan 2011,0.023909122
test_images\04014.jpg,Hyundai Veloster Hatchback 2012,0.9987913,BMW Z4 Convertible 2012,0.047061116,Hyundai Genesis Sedan 2012,0.013308853
test_images\04015.jpg,Dodge Caravan Minivan 1997,0.99128425,Ford Freestar Minivan 2007,0.0792543,Hyundai Elantra Sedan 2007,0.018648118
test_images\04016.jpg,Chevrolet Corvette Convertible 2012,0.85652816,Spyker C8 Coupe 2009,0.20998093,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.12553114
test_images\04017.jpg,Buick Enclave SUV 2012,0.8279944,Hyundai Veracruz SUV 2012,0.09358373,Nissan Leaf Hatchback 2012,0.041302353
test_images\04018.jpg,Volvo C30 Hatchback 2012,0.22154003,Chevrolet HHR SS 2010,0.2088274,Dodge Charger SRT-8 2009,0.11010957
test_images\04019.jpg,Chrysler Town and Country Minivan 2012,0.9751455,Dodge Caliber Wagon 2012,0.009670526,BMW X5 SUV 2007,0.0069651306
