filename,predict_1,confidence_1,predict_2,confidence_2,predict_3,confidence_3
test_images\03997.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,0.4523435,Ford F-450 Super Duty Crew Cab 2012,0.22189257,Ford F-150 Regular Cab 2007,0.023928076
test_images\03998.jpg,Buick Verano Sedan 2012,0.2888573,Acura ZDX Hatchback 2012,0.26761293,Ford Fiesta Sedan 2012,0.254521
test_images\03999.jpg,Ford GT Coupe 2006,0.7781447,Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.31117094,Lamborghini Diablo Coupe 2001,0.092544794
test_images\04000.jpg,Dodge Dakota Crew Cab 2010,0.23024437,Ford Expedition EL SUV 2009,0.21892804,Dodge Ram Pickup 3500 Quad Cab 2009,0.11535114
test_images\04001.jpg,Volkswagen Beetle Hatchback 2012,0.728966,FIAT 500 Convertible 2012,0.09288946,Jaguar XK XKR 2012,0.083235025
test_images\04002.jpg,Chevrolet Tahoe Hybrid SUV 2012,0.23341969,Ford Expedition EL SUV 2009,0.17594898,Jeep Liberty SUV 2012,0.16945246
test_images\04003.jpg,Mercedes-Benz Sprinter Van 2012,0.39045736,Ford E-Series Wagon Van 2012,0.30023193,Nissan NV Passenger Van 2012,0.12805617
test_images\04004.jpg,Ford Expedition EL SUV 2009,0.40419424,Volvo XC90 SUV 2007,0.09685454,Ford F-150 Regular Cab 2012,0.08127338
test_images\04005.jpg,Nissan Leaf Hatchback 2012,0.3202209,smart fortwo Convertible 2012,0.21086136,Scion xD Hatchback 2012,0.101634294
test_images\04006.jpg,Audi V8 Sedan 1994,0.5208291,Audi 100 Sedan 1994,0.4556839,Audi 100 Wagon 1994,0.15943587
test_images\04007.jpg,GMC Savana Van 2012,0.48511714,Ford F-450 Super Duty Crew Cab 2012,0.17744437,Jeep Wrangler SUV 2012,0.1391074
test_images\04008.jpg,GMC Savana Van 2012,0.3506196,Chevrolet Express Cargo Van 2007,0.11809543,Chevrolet Express Van 2007,0.11543438
test_images\04009.jpg,Bugatti Veyron 16.4 Coupe 2009,0.28282058,Aston Martin V8 Vantage Coupe 2012,0.18160418,Bugatti Veyron 16.4 Convertible 2009,0.106060386
test_images\04010.jpg,Aston Martin V8 Vantage Convertible 2012,0.2955315,Aston Martin Virage Convertible 2012,0.19950822,Aston Martin V8 Vantage Coupe 2012,0.058885127
test_images\04011.jpg,Chevrolet Malibu Hybrid Sedan 2010,0.5146958,Mercedes-Benz S-Class Sedan 2012,0.08582598,Hyundai Elantra Sedan 2007,0.03628534
test_images\04012.jpg,Hyundai Tucson SUV 2012,0.6503465,Acura ZDX Hatchback 2012,0.37901795,Ford Edge SUV 2012,0.11294532
test_images\04013.jpg,Geo Metro Convertible 1993,0.20369965,Acura Integra Type R 2001,0.12544131,Volkswagen Golf Hatchback 1991,0.110538155
test_images\04014.jpg,Hyundai Veloster Hatchback 2012,0.81968606,Nissan Juke Hatchback 2012,0.092838675,Nissan Leaf Hatchback 2012,0.050035983
test_images\04015.jpg,Dodge Caravan Minivan 1997,0.3292555,Daewoo Nubira Wagon 2002,0.22261313,Plymouth Neon Coupe 1999,0.12817428
test_images\04016.jpg,Ferrari California Convertible 2012,0.55473536,Chevrolet Camaro Convertible 2012,0.12989259,MINI Cooper Roadster Convertible 2012,0.06398785
test_images\04017.jpg,Hyundai Tucson SUV 2012,0.41695404,Buick Enclave SUV 2012,0.16546243,Hyundai Veracruz SUV 2012,0.1628092
test_images\04018.jpg,Volkswagen Beetle Hatchback 2012,0.3161108,Chevrolet Cobalt SS 2010,0.26340628,Chrysler Sebring Convertible 2010,0.05243677
test_images\04019.jpg,Chrysler Town and Country Minivan 2012,0.16787153,Hyundai Santa Fe SUV 2012,0.08097553,Suzuki SX4 Hatchback 2012,0.040689707
test_images\04020.jpg,Chevrolet HHR SS 2010,0.6278214,Nissan NV Passenger Van 2012,0.1678786,Infiniti QX56 SUV 2011,0.16343448
test_images\04021.jpg,Audi A5 Coupe 2012,0.35597813,Audi TT Hatchback 2011,0.33782727,Audi TTS Coupe 2012,0.30601633
test_images\04022.jpg,Ford Ranger SuperCab 2011,0.84242404,Volvo 240 Sedan 1993,0.10032031,Dodge Dakota Crew Cab 2010,0.075289786
test_images\04023.jpg,Mercedes-Benz E-Class Sedan 2012,0.16164178,Hyundai Genesis Sedan 2012,0.09825784,Suzuki Kizashi Sedan 2012,0.055511743
test_images\04024.jpg,Hyundai Azera Sedan 2012,0.17396304,Hyundai Genesis Sedan 2012,0.14215541,Acura TL Sedan 2012,0.11483675
test_images\04025.jpg,Tesla Model S Sedan 2012,0.24265406,Infiniti G Coupe IPL 2012,0.13780147,Hyundai Azera Sedan 2012,0.087411255
test_images\04026.jpg,Bentley Mulsanne Sedan 2011,0.5388891,Bentley Continental Flying Spur Sedan 2007,0.38178378,Bentley Continental GT Coupe 2007,0.075509876
test_images\04027.jpg,Nissan NV Passenger Van 2012,0.44501287,Mercedes-Benz Sprinter Van 2012,0.25070822,Jeep Wrangler SUV 2012,0.13039309
test_images\04028.jpg,GMC Terrain SUV 2012,0.77330256,Cadillac SRX SUV 2012,0.06697652,Cadillac CTS-V Sedan 2012,0.036527842
test_images\04029.jpg,Mercedes-Benz 300-Class Convertible 1993,0.33683783,Bentley Arnage Sedan 2009,0.10945377,Audi V8 Sedan 1994,0.065960675
test_images\04030.jpg,Audi A5 Coupe 2012,0.14771426,Bentley Mulsanne Sedan 2011,0.14308137,Audi S5 Coupe 2012,0.14101213
test_images\04031.jpg,AM General Hummer SUV 2000,0.4783743,HUMMER H2 SUT Crew Cab 2009,0.25924492,Jeep Wrangler SUV 2012,0.098475724
test_images\04032.jpg,Bentley Continental Flying Spur Sedan 2007,0.81234515,Bentley Continental GT Coupe 2007,0.22006011,Audi S5 Coupe 2012,0.117402345
test_images\04033.jpg,Honda Odyssey Minivan 2007,0.30765855,Buick Enclave SUV 2012,0.28629997,Suzuki SX4 Hatchback 2012,0.16580278
test_images\04034.jpg,Acura ZDX Hatchback 2012,0.2632588,Chevrolet Sonic Sedan 2012,0.12402961,Toyota Camry Sedan 2012,0.08011046
test_images\04035.jpg,Jeep Grand Cherokee SUV 2012,0.65035594,Jeep Compass SUV 2012,0.4210326,Ford Edge SUV 2012,0.09888846
test_images\04036.jpg,GMC Savana Van 2012,0.24640802,Chevrolet Express Van 2007,0.22747019,Chevrolet Express Cargo Van 2007,0.14750406
test_images\04037.jpg,Dodge Charger Sedan 2012,0.5234458,Dodge Charger SRT-8 2009,0.13073233,Audi A5 Coupe 2012,0.08329159
test_images\04038.jpg,Volvo C30 Hatchback 2012,0.4202506,BMW 1 Series Coupe 2012,0.23297405,Chevrolet HHR SS 2010,0.20081922
test_images\04039.jpg,Volvo 240 Sedan 1993,0.69711787,Ford Ranger SuperCab 2011,0.34136465,Volkswagen Golf Hatchback 1991,0.023625672
test_images\04040.jpg,Suzuki SX4 Hatchback 2012,0.11723217,Ford Expedition EL SUV 2009,0.09294063,Mazda Tribute SUV 2011,0.08858681
